02/07/2020 12:23:20,Wet Draw9,MD_Sundarram ,5 bobbin changes in 3 hours????
02/07/2020 12:25:36,Wet Draw9,Jayaprakash Achuthan,200 kg reels for axles India is running now sir
04/07/2020 10:56:43,Wet Draw9,Jayaprakash Achuthan,WD9 pulley checking for asthetics
04/07/2020 11:52:18,Wet Draw9,Jayaprakash Achuthan,wd9 now changing from mig to em12k due to same
04/07/2020 12:16:09,Wet Draw9,Thirumurugan Ramalingam,MIg 1.6 MM Running at 15 M/ S   Excellent JP 
04/07/2020 12:20:49,Wet Draw9,Jayaprakash Achuthan,no sir mig setting changed to em12k as per my last message.But operator not selected the em12k code.Now changed to em12k code
17/07/2020 21:04:25,Wet Draw9,Supervisor ,reel cone ch
17/07/2020 22:18:37,Wet Draw9,Supervisor ,setting die wire cut
17/07/2020 23:23:52,Wet Draw9,Supervisor ,Reel ch
18/07/2020 01:06:12,Wet Draw9,Supervisor ,reel ch
18/07/2020 01:07:02,Wet Draw9,Supervisor ,colour check
18/07/2020 01:54:42,Wet Draw9,Supervisor ,reel ch
18/07/2020 02:30:48,Wet Draw9,Supervisor ,reel ch
18/07/2020 03:08:57,Wet Draw9,Supervisor ,Reel ch
18/07/2020 03:50:07,Wet Draw9,Supervisor ,Reel ch
18/07/2020 04:25:09,Wet Draw9,Supervisor ,reel ch
20/07/2020 10:21:10,Wet Draw9,Supervisor ,fd&bc
20/07/2020 11:40:50,Wet Draw9,Supervisor ,Bc
20/07/2020 12:55:38,Wet Draw9,Supervisor ,fd ch
20/07/2020 14:17:47,Wet Draw9,Supervisor ,Bc
20/07/2020 15:33:56,Wet Draw9,Supervisor ,bc &fd ch
21/07/2020 09:14:27,Wet Draw9,IoT_Admin ,Test message!
21/07/2020 09:17:09,Wet Draw9,ManiRaghu ,JP 1.6 mm mig speed trial status plss.. 
21/07/2020 09:21:05,Wet Draw9,Jayaprakash Achuthan,1 bobbin completed yesterday at 13 m/s.Copper coating within spec
21/07/2020 09:43:34,Wet Draw9,ManiRaghu ,ok i wil follow welding result & update today
21/07/2020 09:45:03,Wet Draw9,Supervisor ,skinpass ch&ssetting ch
21/07/2020 10:01:55,Wet Draw9,Supervisor ,Grade change mig to em12k
21/07/2020 10:14:07,Wet Draw9,Supervisor ,Traverse problem informed to maintenance
21/07/2020 10:43:44,Wet Draw9,Supervisor ,All machine power cut
21/07/2020 12:27:28,Wet Draw9,Supervisor ,again travers problem break down raised
21/07/2020 13:29:14,Wet Draw9,Supervisor ,Bc
21/07/2020 13:38:03,Wet Draw9,Supervisor ,Setting & fd & bc
22/07/2020 10:18:08,Wet Draw9,ManiRaghu ,1.6 MIG 13M/S IS OK.. PLS MAKE MORE 5MT
22/07/2020 10:31:13,Wet Draw9,Supervisor ,bc
22/07/2020 11:31:05,Wet Draw9,Supervisor ,bc
22/07/2020 12:38:36,Wet Draw9, ,fD & bc
22/07/2020 13:41:00,Wet Draw9,Supervisor ,Bc
22/07/2020 14:05:51,Wet Draw9,Supervisor ,2.36 SETTING DIE BROKEN 5.2MT LIFE COMPLETED NOW NEW SETTING CH
23/07/2020 10:03:50,Wet Draw9,Supervisor ,BC
23/07/2020 14:12:31,Wet Draw9,Supervisor ,Bc
23/07/2020 15:15:50,Wet Draw9,Supervisor ,Bc & Fdc
23/07/2020 16:14:55,Wet Draw9,Supervisor ,Pay off wire cut now resetting
24/07/2020 09:06:35,Wet Draw9,Supervisor ,Traverse problem
24/07/2020 10:15:03,Wet Draw9,Supervisor ,Skin pass ch & bc
24/07/2020 11:10:23,Wet Draw9,Supervisor ,Rotating die alarm and setting ch,fd ch
24/07/2020 11:22:52,Wet Draw9,Jayaprakash Achuthan,Rotating die alarm due to oversize of setting dies?Pandian
24/07/2020 14:04:26,Wet Draw9,Supervisor ,Plan ch wd-5 now start.
27/07/2020 11:44:17,Wet Draw9, ,Now plan wd-5 start
28/07/2020 09:14:18,Wet Draw9, ,setting ch
28/07/2020 09:55:06,Wet Draw9, ,starting 3 kg travers problem maintenance checking
